Time,Year,Month,Day,Hour,Air Temperature,Relative Humidity,Wind Speed,Wind direction,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Horizontal Infrared Radiation Intensity
1989-01-01 00:30:00,1989,1,1,0,24.7,94,3.2,45,0,0,0,387
1989-01-01 01:30:00,1989,1,1,1,24.4,94,4.1,10,0,0,0,385
1989-01-01 02:30:00,1989,1,1,2,24.2,95,3.1,10,0,0,0,384
1989-01-01 03:30:00,1989,1,1,3,24.1,96,2.0,10,0,0,0,383
1989-01-01 04:30:00,1989,1,1,4,24.1,96,1.0,340,0,0,0,383
1989-01-01 05:30:00,1989,1,1,5,24.0,96,0.7,340,0,0,0,383
1989-01-01 06:30:00,1989,1,1,6,24.2,94,0.3,340,0,0,0,384
1989-01-01 07:30:00,1989,1,1,7,24.3,92,0.0,0,18,0,18,384
1989-01-01 08:30:00,1989,1,1,8,25.5,86,1.5,0,152,70,130,390
1989-01-01 09:30:00,1989,1,1,9,26.8,79,3.1,0,318,125,252,397
1989-01-01 10:30:00,1989,1,1,10,28.0,73,4.6,50,464,110,387,403
1989-01-01 11:30:00,1989,1,1,11,26.8,79,3.1,50,571,121,471,397
1989-01-01 12:30:00,1989,1,1,12,25.5,86,1.5,50,630,122,521,390
1989-01-01 13:30:00,1989,1,1,13,24.3,92,0.0,0,637,122,526,384
1989-01-01 14:30:00,1989,1,1,14,25.4,87,1.5,0,589,121,486,395
1989-01-01 15:30:00,1989,1,1,15,26.5,81,3.1,0,493,93,424,408
1989-01-01 16:30:00,1989,1,1,16,27.6,77,4.6,30,354,121,285,417
1989-01-01 17:30:00,1989,1,1,17,27.1,79,3.9,30,190,84,159,414
1989-01-01 18:30:00,1989,1,1,18,26.6,81,3.3,30,40,0,40,412
1989-01-01 19:30:00,1989,1,1,19,26.1,84,2.6,10,0,0,0,409
1989-01-01 20:30:00,1989,1,1,20,25.8,85,2.4,10,0,0,0,404
1989-01-01 21:30:00,1989,1,1,21,25.6,86,2.3,10,0,0,0,396
1989-01-01 22:30:00,1989,1,1,22,25.3,87,2.1,10,0,0,0,389
1989-01-01 23:30:00,1989,1,1,23,25.1,89,2.2,10,0,0,0,393
1989-01-02 00:30:00,1989,1,2,0,24.8,91,2.3,10,0,0,0,392
1989-01-02 01:30:00,1989,1,2,1,24.6,93,2.4,10,0,0,0,391
1989-01-02 02:30:00,1989,1,2,2,24.6,93,1.5,10,0,0,0,391
1989-01-02 03:30:00,1989,1,2,3,24.6,94,0.7,10,0,0,0,395
1989-01-02 04:30:00,1989,1,2,4,24.6,94,0.0,10,0,0,0,395
1989-01-02 05:30:00,1989,1,2,5,24.8,94,0.0,10,0,0,0,396
1989-01-02 06:30:00,1989,1,2,6,25.0,93,0.0,10,0,0,0,398
1989-01-02 07:30:00,1989,1,2,7,25.2,93,0.0,0,18,0,18,395
1989-01-02 08:30:00,1989,1,2,8,25.9,88,1.0,0,151,69,129,403
1989-01-02 09:30:00,1989,1,2,9,26.7,84,2.1,0,316,124,251,407
1989-01-02 10:30:00,1989,1,2,10,27.4,80,3.1,0,463,109,386,411
1989-01-02 11:30:00,1989,1,2,11,28.2,76,4.1,0,571,120,471,415
1989-01-02 12:30:00,1989,1,2,12,28.9,73,5.2,0,630,121,521,422
1989-01-02 13:30:00,1989,1,2,13,29.7,69,6.2,60,637,215,442,426
1989-01-02 14:30:00,1989,1,2,14,29.1,72,6.3,60,590,121,487,423
1989-01-02 15:30:00,1989,1,2,15,28.6,74,6.4,60,494,93,425,417
1989-01-02 16:30:00,1989,1,2,16,28.0,77,6.4,60,355,99,298,414
1989-01-02 17:30:00,1989,1,2,17,27.5,80,6.5,60,192,84,160,411
1989-01-02 18:30:00,1989,1,2,18,26.9,82,6.6,60,41,0,41,408
1989-01-02 19:30:00,1989,1,2,19,26.4,85,6.7,40,0,0,0,401
1989-01-02 20:30:00,1989,1,2,20,26.2,86,6.5,40,0,0,0,400
1989-01-02 21:30:00,1989,1,2,21,26.1,88,6.4,40,0,0,0,400
1989-01-02 22:30:00,1989,1,2,22,25.9,89,6.2,40,0,0,0,393
1989-01-02 23:30:00,1989,1,2,23,25.7,89,5.4,40,0,0,0,398
1989-01-03 00:30:00,1989,1,3,0,25.6,90,4.6,40,0,0,0,397
1989-01-03 01:30:00,1989,1,3,1,25.4,91,3.8,40,0,0,0,396
1989-01-03 02:30:00,1989,1,3,2,25.2,92,3.1,40,0,0,0,399
1989-01-03 03:30:00,1989,1,3,3,25.1,92,2.3,40,0,0,0,398
1989-01-03 04:30:00,1989,1,3,4,24.9,93,1.5,360,0,0,0,400
1989-01-03 05:30:00,1989,1,3,5,25.1,93,1.9,360,0,0,0,398
1989-01-03 06:30:00,1989,1,3,6,25.3,92,2.2,360,0,0,0,400
1989-01-03 07:30:00,1989,1,3,7,25.5,92,2.6,10,17,0,17,397
1989-01-03 08:30:00,1989,1,3,8,26.8,84,4.0,10,169,122,131,403
1989-01-03 09:30:00,1989,1,3,9,28.0,76,5.3,10,389,314,223,410
1989-01-03 10:30:00,1989,1,3,10,29.3,70,6.7,50,606,490,262,416
1989-01-03 11:30:00,1989,1,3,11,30.1,65,6.9,50,782,599,286,420
1989-01-03 12:30:00,1989,1,3,12,30.8,60,7.0,50,893,680,282,423
1989-01-03 13:30:00,1989,1,3,13,31.6,56,7.2,40,925,749,246,427
1989-01-03 14:30:00,1989,1,3,14,30.9,60,7.2,40,838,684,254,424
1989-01-03 15:30:00,1989,1,3,15,30.2,64,7.2,40,679,613,225,421
1989-01-03 16:30:00,1989,1,3,16,29.5,69,7.2,30,468,436,216,417
1989-01-03 17:30:00,1989,1,3,17,28.6,74,6.3,30,238,219,156,413
1989-01-03 18:30:00,1989,1,3,18,27.6,79,5.5,30,48,0,48,408
1989-01-03 19:30:00,1989,1,3,19,26.7,85,4.6,30,0,0,0,403
1989-01-03 20:30:00,1989,1,3,20,26.5,87,4.8,30,0,0,0,402
1989-01-03 21:30:00,1989,1,3,21,26.2,88,4.9,30,0,0,0,401
1989-01-03 22:30:00,1989,1,3,22,26.0,89,5.1,40,0,0,0,399
1989-01-03 23:30:00,1989,1,3,23,25.9,90,5.1,40,0,0,0,399
1989-01-04 00:30:00,1989,1,4,0,25.9,90,5.1,40,0,0,0,399
1989-01-04 01:30:00,1989,1,4,1,25.8,90,5.1,30,0,0,0,398
1989-01-04 02:30:00,1989,1,4,2,25.7,91,3.9,30,0,0,0,405
1989-01-04 03:30:00,1989,1,4,3,25.7,91,2.7,30,0,0,0,408
1989-01-04 04:30:00,1989,1,4,4,25.6,92,1.5,20,0,0,0,411
1989-01-04 05:30:00,1989,1,4,5,25.5,92,2.4,20,0,0,0,411
1989-01-04 06:30:00,1989,1,4,6,25.5,92,3.2,20,0,0,0,407
1989-01-04 07:30:00,1989,1,4,7,25.4,93,4.1,30,6,0,6,406
1989-01-04 08:30:00,1989,1,4,8,26.6,86,4.3,30,94,0,94,413
1989-01-04 09:30:00,1989,1,4,9,27.7,81,4.4,30,263,78,222,419
1989-01-04 10:30:00,1989,1,4,10,28.9,75,4.6,40,461,163,347,426
1989-01-04 11:30:00,1989,1,4,11,29.2,74,5.5,40,570,120,470,424
1989-01-04 12:30:00,1989,1,4,12,29.4,72,6.3,40,630,121,522,422
1989-01-04 13:30:00,1989,1,4,13,29.7,71,7.2,30,638,215,443,419
1989-01-04 14:30:00,1989,1,4,14,29.2,73,6.6,30,592,121,489,417
1989-01-04 15:30:00,1989,1,4,15,28.6,76,6.0,30,496,93,427,413
1989-01-04 16:30:00,1989,1,4,16,28.1,78,5.4,30,358,100,301,411
1989-01-04 17:30:00,1989,1,4,17,27.6,81,4.8,30,194,85,162,408
1989-01-04 18:30:00,1989,1,4,18,27.0,84,4.2,30,43,0,43,399
1989-01-04 19:30:00,1989,1,4,19,26.5,87,3.6,40,0,0,0,397
1989-01-04 20:30:00,1989,1,4,20,26.3,88,3.4,40,0,0,0,401
1989-01-04 21:30:00,1989,1,4,21,26.1,88,3.3,40,0,0,0,404
1989-01-04 22:30:00,1989,1,4,22,25.9,89,3.1,30,0,0,0,406
